ID,Start Date,End Date,Did the respondent agree to take the survey?,"Since finishing your training with Samaschool, have you completed any gig or contract-based work?Gig work means any work where the worker was doing a job that last for a limited time or to the end of a project, and the worker was paid for completing a particular task, gig, or project.",How many gigs or contracts have you completed?,That’s great! Can you let me know the number of gigs or contracts that you have completed?,How did you find your contract-based work?,,,,"Great - which online platforms did you use?If you completed multiple gigs or contracts on different platforms, you can select more than one option below.",,,,,,,,,,,,,How much money have you earned for completing this work?Enter a dollar amount. You do not need to use the $ sign.,How would you describe the amount of money you just mentioned? Is it:,Do you plan to continue doing gig or contract-based work?,Why do you think you won’t continue with gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.Choose all that apply to you.,,,,,,,,,,,Do you need any support to continue with your gig work? Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Do you plan on doing gig or contract-based work soon?,Great! What kind of support do you need to get started?Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Why do you think you won’t start gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.,,,,,,,,,,,Are you currently doing any other work?,Which of the following best describes your other work?,Samaschool City:
,,,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Open-Ended Response,Open-Ended Response,Online platform,Staffing or temporary placement (temp) agency,My personal networks or word-of-mouth referrals,Other (please specify),Care.com,Field Nation,Handy,Lyft,Postmates,TaskRabbit,Thumbtack,Upwork,UrbanSitter,Uber,Wonolo,WorkMarket,Other (please specify),Open-Ended Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,I have as much work as I want right now,I would rather look for full-time or non-contract work,I can’t find appropriate gigs,I don’t have time to search for gigs,I don’t have time to complete gigs,I don’t have transportation to go to gigs,I lack confidence in my skills,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,I am enrolled in school or training,I plan to do gig work but the timing conflicts with my current employment,Other (please specify),Platform Support - Profile Completion,Platform Support - Job Search,Platform Support - Other,Lack of Confidence,I do not need support,Other,Multiple Choice; Single-Select Response,Platform Support - Profile Completion,Platform Support - Job Search,Platform Support - Other,Lack of Confidence,I do not need support,Other,I have as much work as I want right now,I would rather look for full-time or non-contract work,I can’t find appropriate gigs,I don’t have time to search for gigs,I don’t have time to complete gigs,I don’t have transportation to go to gigs,I lack confidence in my skills,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,I am enrolled in school or training,I plan to do gig work but the timing conflicts with my current employment,Other (please specify),Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response,Multiple Choice; Single-Select Response
_respondentid.1,_startdate.1,_enddate.1,_optin.1,_indw.gigactivation.1,_indw.numgig.1,_indw.numgig3+.1,_indw.source.online.1,_indw.source.agency.1,_indw.source.network.1,_indw.source.other.1,_indw.online.care.1,_indw.online.field.1,_indw.online.handy.1,_indw.online.lyft.1,_indw.online.post.1,_indw.online.taskrab.1,_indw.online.thumb.1,_indw.online.upwork.1,_indw.online.urbansit.1,_indw.online.uber.1,_indw.online.wonolo.1,_indw.online.workmark.1,_indw.online.other.1,_indw.inc.total.1,_indw.earnings.1,_indw.continue.1,_indw.rsn.havework.1,_indw.rsn.ftwork.1,_indw.rsn.gigdind.1,_indw.rsn.gigsearch.1,_indw.rsn.gigtime.1,_indw.rsn.gigtransport.1,_indw.rsn.confidence.1,_indw.rsn.comfort.1,_indw.rsn.school.1,_indw.rsn.timeconflict.1,_indw.rsn.other.1,_indw.support.profile.1,_indw.support.search.1,_indw.support.other.1,_indw.support.confidence.1,_indw.support.none.1,_indw.support.other.1,_indw.activateYN.1,_indw.activate.profile.1,_indw.activate.search.1,_indw.activate.other.1,_indw.activate.confidence.1,_indw.activate.none.1,_indw.activate.other.1,_indwnone.rsn.havework.1,_indwnone.rsn.ftwork.1,_indwnone.rsn.gigdind.1,_indwnone.rsn.gigsearch.1,_indwnone.rsn.gigtime.1,_indwnone.rsn.gigtransport.1,_indwnone.rsn.confidence.1,_indwnone.rsn.comfort.1,_indwnone.rsn.school.1,_indwnone.rsn.timeconflict.1,_indwnone.rsn.other.1,_indwnone.otherworkYN.1,_indwnone.otherwork.type.1,
100081,2019-02-25 11:49:23,2019-02-25 12:01:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100088,2019-02-26 9:49:53,2019-02-26 10:08:05,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,I don’t have time to search for gigs,,,,,I am enrolled in school or training,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100432,2018-11-09 13:32:35,2018-11-09 13:36:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Does not know how visa plays roles in working a gig job,No,,
100150,2019-02-19 13:03:00,2019-02-19 13:09:05,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"More skill in the area she wants to freelance in - interested in writing, editing.",,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100167,2019-02-21 9:31:25,2019-02-21 9:39:01,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100811,2018-10-26 14:41:19,2018-10-26 14:59:39,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100952,2018-08-25 13:10:24,2018-08-25 13:23:16,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,80,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100025,2019-03-09 13:02:52,2019-03-09 13:27:01,Yes,Yes,2,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,200,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,Help getting experience in IT for IT gig work,Yes,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100172,2019-02-19 13:58:22,2019-02-19 14:13:57,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,New York City
100364,2018-12-17 17:23:52,2018-12-17 17:53:50,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100945,2018-09-06 15:15:52,2018-09-06 15:20:32,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100756,2018-12-08 11:56:52,2018-12-08 12:09:57,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,150,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100849,2018-08-01 14:05:39,2018-08-01 14:12:27,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,I don’t have time to complete gigs,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100572,2018-10-31 16:37:51,2018-10-31 16:43:42,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100650,2018-09-18 14:40:49,2018-09-18 14:45:03,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100680,2018-09-21 16:38:45,2018-09-21 17:15:32,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100059,2019-03-11 17:05:31,2019-03-11 17:27:08,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,one and one with job training worker to give advice after training,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100947,2018-09-06 15:20:32,2018-09-06 15:34:43,Yes,Yes,More than 3,8,,Staffing or temporary placement (temp) agency,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,360,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100969,2018-09-07 12:02:22,2018-09-07 12:11:19,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Lack of Confidence,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
101249,2018-08-06 20:24:32,2018-08-06 20:46:46,Yes,Yes,More than 3,7,,,,Class referalls,,,,,,,,,,,,,,1200,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100984,2018-09-06 16:33:22,2018-09-06 16:40:48,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100155,2019-02-19 9:38:15,2019-02-19 9:42:31,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,I am enrolled in school or training,,,No,,New York City
100028,2019-03-09 11:19:34,2019-03-09 12:35:12,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",San Francisco / Bay Area
100452,2018-11-04 19:35:56,2018-11-04 19:39:13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Learn more skills,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100752,2018-12-06 11:43:37,2018-12-06 11:49:25,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100054,2019-03-05 19:03:29,2019-03-05 19:13:22,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,marketing / promoting self,,,,,,,,,,,,No,,San Francisco / Bay Area
100694,2018-09-24 16:26:16,2018-09-24 16:42:50,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100821,2018-10-31 14:54:23,2018-10-31 15:14:23,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,150,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100162,2019-02-20 12:20:28,2019-02-20 12:28:32,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,I am enrolled in school or training,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
101466,2019-02-21 9:02:15,2019-02-21 9:16:33,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,10,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,New York City
100351,2019-02-07 12:04:36,2019-02-07 12:14:42,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
101447,2018-12-03 14:37:12,2018-12-03 14:51:15,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100690,2018-09-24 16:42:50,2018-09-24 16:48:53,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,,,,No,,
100962,2018-09-12 15:47:44,2018-09-12 15:58:43,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,260,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
101144,2018-08-23 15:59:01,2018-08-23 16:08:20,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,100,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,Platform Support - Other,Lack of Confidence,,"Feels underqualified for potential gigs - hook up cash registers, what level of additional support at a site",,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100932,2018-08-23 14:02:23,2018-08-23 14:23:33,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100635,2018-09-18 18:01:04,2018-09-18 18:04:49,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,I am enrolled in school or training,,,No,,
100082,2019-02-25 11:13:37,2019-02-25 11:44:14,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,I lack confidence in my skills,,,,,No,,New York City
101505,2018-09-06 17:53:43,2018-09-06 18:40:42,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Lack of Confidence,,Skills-based qualifications,,,,,,,,,,,,No,,
100625,2018-10-08 16:26:50,2018-10-08 16:35:52,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,25,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
101448,2018-12-03 12:30:55,2018-12-03 12:42:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Refresh on apps that are catered towards customer service. Which apps would be best to work out of for the most money.,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100518,2019-01-21 11:30:38,2019-01-21 11:39:37,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100956,2018-09-07 8:15:20,2018-09-07 8:36:17,Yes,Yes,3,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,400,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,"Most gig work through Field Nation requires you to have equipment, so if Samaschool could provide equipment rentals or free supplies that would be very helpful.",,,,,,,,,,,,,,,,,,,No,,
100980,2018-08-22 16:03:55,2018-08-22 18:00:51,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100450,2018-11-04 19:39:13,2018-11-04 19:47:22,Yes,Yes,1,,,,,T-shirt social enterprise,,,,,,,,,,,,,,15,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100361,2018-12-10 13:14:37,2018-12-10 13:19:36,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100179,2019-02-19 13:09:05,2019-02-19 13:58:22,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,School gives him a summer internship,No,,New York City
100813,2018-10-31 15:18:17,2018-10-31 15:33:54,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,60,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100938,2018-09-05 16:43:06,2018-09-05 16:50:38,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100419,2019-02-27 15:04:51,2019-02-27 15:17:01,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100080,2019-02-25 12:01:28,2019-02-25 12:06:59,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100812,2018-10-26 14:59:39,2018-10-26 15:14:30,Yes,Yes,More than 3,6,Online platform,,My personal networks or word-of-mouth referrals,,,Field Nation,,,,,,,,,,,,700,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
101451,2018-12-03 12:09:25,2018-12-03 12:21:51,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Not super comfortable using technology,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100532,2018-10-24 14:47:44,2018-10-24 14:54:50,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100632,2018-10-01 10:11:49,2018-10-01 10:14:57,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,I am enrolled in school or training,,,No,,
100242,2019-02-07 16:45:42,2019-02-07 16:56:05,Yes,Yes,More than 3,20,Online platform,,,,,,,,,,,,UrbanSitter,,,,,100,A best guess of the amount you have earned,No,,I would rather look for full-time or non-contract work,,,,,,,,,,,,,,I do not need support,,No,,,,,,,,,I can’t find appropriate gigs,,,,,,,,,No,,New York City
100408,2019-02-25 10:21:30,2019-02-25 10:27:39,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,I'm currently searching for an internship instead,No,,New York City
100672,2018-10-19 13:09:14,2018-10-19 14:23:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100689,2018-09-21 14:21:53,2018-09-21 14:29:46,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,No,,
100349,2019-02-07 12:14:42,2019-02-07 12:24:09,Yes,Yes,More than 3,50,Online platform,,My personal networks or word-of-mouth referrals,,,,,,,,,,UrbanSitter,,,,,3400,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,New York City
101452,2018-09-06 17:34:25,2018-09-06 17:40:04,Yes,Yes,More than 3,8,Online platform,,,,,Field Nation,,Lyft,,,,,,,,,Craigslist,0,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
101150,2018-08-23 16:08:20,2018-08-23 16:15:40,Yes,Yes,1,,Online platform,,,,,Field Nation,,,,,,,,,,,,120,A best guess of the amount you have earned,No,I have as much work as I want right now,,,,,,,,,I plan to do gig work but the timing conflicts with my current employment,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100692,2018-09-21 14:05:35,2018-09-21 14:13:30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100753,2018-12-06 11:36:53,2018-12-06 11:43:37,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,"currently hired for full time work, too busy at the moment",Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100523,2019-01-21 11:27:31,2019-01-21 11:30:37,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,San Francisco / Bay Area
100045,2019-03-07 17:36:54,2019-03-07 18:00:05,Yes,Yes,3,,,,,paidpro app,,,,,,,,,,,,,,1000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100579,2018-10-17 22:27:49,2018-10-17 22:35:09,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,She has to take care of family.,No,,
100235,2019-02-07 17:09:55,2019-02-07 17:18:46,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
101453,2018-09-06 17:48:45,2018-09-06 17:53:43,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Lack of Confidence,,Don't know where to start on the platform,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100422,2019-02-25 9:31:31,2019-02-25 9:44:46,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100445,2018-11-04 19:47:22,2018-11-04 19:55:33,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,I plan to do gig work but the timing conflicts at the moment,No,,
100981,2018-08-23 9:13:19,2018-08-23 9:21:45,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100822,2018-10-26 15:14:30,2018-10-26 15:49:31,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
101475,2019-02-25 10:08:04,2019-02-25 10:21:30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100942,2018-09-05 17:46:43,2018-09-05 17:52:27,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Support getting tools for the work that requires you to have tools,,,,,,,,,,,,No,,
100978,2018-09-06 16:40:48,2018-09-06 17:02:45,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,Platform Support - Job Search,,,,Trying to figure out if your profile fits the job description.,,,,,,,,,,,,No,,
