ID,Start Date,End Date,Did the respondent agree to take the survey?,"Since finishing your training with Samaschool, have you completed any gig or contract-based work?Gig work means any work where the worker was doing a job that last for a limited time or to the end of a project, and the worker was paid for completing a particular task, gig, or project.",How many gigs or contracts have you completed?,That’s great! Can you let me know the number of gigs or contracts that you have completed?,How did you find your contract-based work?,,,,"Great - which online platforms did you use?If you completed multiple gigs or contracts on different platforms, you can select more than one option below.",,,,,,,,,,,,,How much money have you earned for completing this work?Enter a dollar amount. You do not need to use the $ sign.,How would you describe the amount of money you just mentioned? Is it:,Do you plan to continue doing gig or contract-based work?,Why do you think you won’t continue with gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.Choose all that apply to you.,,,,,,,,,,,Do you need any support to continue with your gig work? Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Do you plan on doing gig or contract-based work soon?,Great! What kind of support do you need to get started?Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Why do you think you won’t start gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.,,,,,,,,,,,Are you currently doing any other work?,Which of the following best describes your other work?,Samaschool City:
100071,2019-02-25 9:06:17,2019-02-25 9:31:30,Yes,Yes,More than 3,8,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,1800,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,,"Would like support once finished with the Google IT class she's currently taking. Particularly interested in setting up Platform presence, putting proposals together, interested in the Samaschool templates.",,,,,,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100236,2019-02-07 17:03:43,2019-02-07 17:09:55,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100168,2019-02-20 11:34:55,2019-02-20 12:02:38,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100764,2018-12-12 5:19:48,2018-12-12 5:23:19,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100705,2018-09-21 11:26:16,2018-09-21 11:36:19,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100771,2018-12-23 18:49:18,2018-12-23 18:52:22,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,I don’t have time to complete gigs,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100156,2019-02-19 9:25:32,2019-02-19 9:38:14,Yes,Yes,1,,Online platform,,,"An app called CampusPro an app specific to her school, she's also interning for CampusPro",,,,,,,,,,,,,CampusPro,25,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,"Finding different jobs that work for her, especially remote jobs that are more flexible so she doesn't have to run all over for babysitting here, dog walking here, etc.",,,,,,,,,,,,,,,,,,,No,,New York City
101455,2018-09-18 18:12:47,2018-09-18 18:18:13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100355,2018-12-17 17:53:50,2018-12-17 18:05:56,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Looking for platforms that don't require background checks,,,,,,,,,,,,No,,San Francisco / Bay Area
100026,2019-03-09 12:46:23,2019-03-09 13:02:51,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",San Francisco / Bay Area
100702,2018-09-21 11:36:19,2018-09-21 11:45:02,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100577,2018-11-01 15:00:29,2018-11-01 15:15:00,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,35,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100400,2018-11-24 15:27:22,2018-11-24 16:13:58,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100566,2018-11-09 14:47:33,2018-11-09 15:04:37,Yes,Yes,More than 3,10,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,100,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100937,2018-09-05 17:20:25,2018-09-05 17:31:23,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,I don’t have time to complete gigs,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100069,2019-02-28 14:47:16,2019-02-28 14:59:01,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,San Francisco / Bay Area
100515,2019-01-21 11:39:38,2019-01-21 11:44:09,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,San Francisco / Bay Area
100467,2019-01-21 11:51:11,2019-01-21 12:15:53,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Lack of Confidence,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100075,2018-10-18 9:04:37,2018-10-18 9:10:13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100642,2018-09-18 17:00:01,2018-09-18 17:01:42,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,I need time,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100053,2019-03-07 18:00:05,2019-03-07 18:18:11,Yes,Yes,More than 3,4,Online platform,,,,,,,,Postmates,,,,,,,,Ubereats,400,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100643,2018-09-18 13:20:47,2018-09-18 13:28:23,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,No,,
100941,2018-09-05 17:31:23,2018-09-05 17:46:43,Yes,Yes,2,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,400,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,No,,
100083,2019-02-25 11:44:14,2019-02-25 11:49:23,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,I don’t have time to complete gigs,,I lack confidence in my skills,,,,I work full time so I don't have time to do gig work. And it's kind of intimidating to get started with gig work,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100084,2019-02-25 11:41:05,2019-02-25 11:42:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100784,2018-12-18 7:07:59,2018-12-18 7:20:34,Yes,Yes,3,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,300,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100751,2018-12-12 5:13:58,2018-12-12 5:17:31,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100614,2018-10-09 14:50:06,2018-10-09 15:00:16,Yes,Yes,More than 3,5,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,50,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
100511,2019-01-23 12:18:53,2019-01-23 12:22:30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
101197,2018-08-01 13:15:17,2018-08-01 13:44:16,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,1000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100644,2018-09-23 22:20:23,2018-09-23 22:22:38,Yes,Yes,More than 3,6,Online platform,,,,,Field Nation,,,,,,,,,,,AmazonFlex,400,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
101157,2018-09-18 18:18:13,2018-09-18 18:28:45,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100154,2019-03-12 8:04:51,2019-03-12 8:15:05,Yes,Yes,2,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,460,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100704,2018-09-21 11:15:22,2018-09-21 11:26:16,Yes,No,3,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,500,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,Platform Support - Other,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100164,2019-02-20 12:02:38,2019-02-20 12:20:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,I am not comfortable going to an unfamiliar place and/ or working for unfamiliar people,,,,No,,New York City
100939,2018-08-22 15:05:41,2018-08-22 16:03:54,Yes,Yes,2,,Online platform,,,,,Field Nation,,,,,,,,,,,Right Hire,287,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100512,2019-01-23 12:10:12,2019-01-23 12:18:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100346,2019-02-07 12:24:10,2019-02-07 12:33:37,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,600,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,New York City
100793,2018-08-23 16:15:40,2018-08-23 16:23:47,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,Payment option - banking needs,,,,,,,,,,,,No,,
100142,2019-02-15 12:03:20,2019-02-15 12:54:30,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,600,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,New York City
100407,2019-02-27 15:23:49,2019-02-28 14:47:15,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,No,,New York City
100403,2019-02-25 10:27:40,2019-02-25 10:45:27,Yes,Yes,More than 3,5,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,100,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,New York City
100423,2019-02-26 10:51:30,2019-02-26 11:07:07,Yes,Yes,More than 3,9,Online platform,,,,,,,,,,,,,,,,DoorDash,80,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,New York City
100415,2019-02-25 9:44:46,2019-02-25 10:08:04,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100687,2018-09-21 14:29:47,2018-09-21 16:31:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Lack of Confidence,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100691,2018-09-21 14:16:54,2018-09-21 14:21:53,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,160,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100636,2018-09-18 17:01:42,2018-09-18 18:01:03,Yes,Yes,More than 3,1,Online platform,,,,,Field Nation,,,,,,,,,,,,50,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
100959,2018-09-06 15:34:43,2018-09-06 15:47:48,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100433,2018-11-09 12:22:23,2018-11-09 13:32:35,Yes,Yes,1,,Online platform,,,,,,,,,,,,,,,,Craiglist,200,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100676,2018-09-24 16:48:53,2018-09-24 17:05:07,Yes,Yes,More than 3,15,Online platform,,,,,,,,Postmates,,,,,,,,,1000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
100095,2019-02-25 11:08:49,2019-02-25 11:13:37,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,I don’t have time to search for gigs,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100414,2019-02-26 9:04:00,2019-02-26 9:49:50,Yes,Yes,More than 3,400,Online platform,,,,,,,,,,,,,Uber,,,,3000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,"It's a matter of time with Uber, because he drives a wheelchair accessible minivan so the city of NY has an incentive program for accessibility which helps with the lease. Driving at least 40 hours a week.",Yes,,,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100560,2018-11-02 9:49:43,2018-11-02 10:00:16,Yes,Yes,More than 3,4,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,3000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100682,2018-09-21 16:33:31,2018-09-21 16:38:45,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,No,,
100817,2018-10-31 14:48:20,2018-10-31 14:54:23,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100581,2018-10-16 20:51:00,2018-10-16 20:59:11,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,475,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
100068,2019-02-25 12:26:16,2019-02-25 12:35:02,Yes,Yes,2,,Online platform,,,,,,,Lyft,,TaskRabbit,,,,,,,,200,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,No,,New York City
100608,2018-10-06 16:17:25,2018-10-06 16:29:24,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,120,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
101574,2018-09-20 17:52:48,2018-09-20 17:55:28,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
6101460,2018-12-03 12:21:51,2018-12-03 12:30:55,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100399,2018-11-24 16:44:52,2018-11-24 16:47:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,I am not able to work right now,,,,,,,,,,,,No,,
100948,2018-09-07 7:59:01,2018-09-07 8:15:19,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,Lack of Confidence,,"Videos or a technical class-- to demonstrate what a typical gig would look like-- so they feel like they have more experience going into their first gig. They are looking for break, move and fix equipment gigs. They are also having a hard time finding this type of gig located near them and not too far away.",,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100802,2018-08-23 15:46:01,2018-08-23 15:50:13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100043,2019-03-15 17:01:24,2019-03-15 17:16:42,Yes,Yes,More than 3,6,Online platform,,My personal networks or word-of-mouth referrals,,,,,Lyft,,,,,,,,,,62.38,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100239,2019-02-07 16:56:05,2019-02-07 17:03:43,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100967,2018-09-07 14:22:45,2018-09-07 14:31:16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Support figuring out how to fit the gigs in her schedule, and support getting the equipment/tools required for the gigs.",,,,,,,,,,,,No,,
100476,2019-01-21 11:44:10,2019-01-21 11:51:10,Yes,Yes,More than 3,"6,000",Online platform,,,,,,,,,,,,,Uber,,,,100000,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,San Francisco / Bay Area
100762,2018-12-06 11:49:25,2018-12-06 12:03:21,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,I would rather look for full-time or non-contract work,,,,,,,,,,No,,New York City
100064,2019-03-09 12:35:13,2019-03-09 12:46:23,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,75,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,New York City
100961,2018-09-06 15:47:48,2018-09-06 16:06:39,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,300,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,Lack of Confidence,,Would be interested in doing some gigs paired up with another student of Samaschool so she can gain experience and confidence being an IT technician and not go by herself to clients (she is scared something will go wrong because she is new at it and the client will yell at her),,,,,,,,,,,,,,,,,,,No,,
100063,2019-03-05 18:56:00,2019-03-05 19:03:29,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100824,2018-10-31 15:14:23,2018-10-31 15:18:16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,I would rather look for full-time or non-contract work,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100669,2018-10-24 16:19:54,2018-10-24 16:34:53,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,I have as much work as I want right now,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100170,2019-02-21 9:16:34,2019-02-21 9:31:25,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100454,2018-12-06 11:25:08,2018-12-06 11:36:52,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,No,,New York City
100097,2019-02-25 10:45:28,2019-02-25 11:08:49,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Currently in EMT school, but when he finishes he might be interested in some support like this down the road.",,,,,,,,,,,,No,,New York City
100648,2018-09-18 14:45:03,2018-09-18 15:48:26,Yes,Yes,More than 3,9,Online platform,,,,,Field Nation,,,,,,,,,,,,900,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100079,2019-02-25 12:07:00,2019-02-25 12:11:36,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,New York City
100072,2019-02-25 12:11:37,2019-02-25 12:26:16,Yes,Yes,More than 3,5,Online platform,Staffing or temporary placement (temp) agency,,,,,,,,TaskRabbit,,,,,,,,500,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,,"He would like to get something like a surety bond with an insurance company in case something happens on the job. Signed up with FieldNation, but haven't gotten any work from them yet, so would like to prepare ahead.",,,,,,,,,,,,,,,,,,,No,,New York City
100647,2018-09-30 22:09:29,2018-09-30 22:15:33,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100378,2018-11-20 13:50:14,2018-11-20 13:53:10,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,10,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
100243,2019-02-07 12:33:37,2019-02-07 12:40:29,Yes,Yes,More than 3,4,Online platform,,,,,,,,,,,,,,,,Ebay,80,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100761,2018-12-08 11:47:51,2018-12-08 11:56:51,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,0,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,,,,financial literacy,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100575,2018-11-01 15:25:01,2018-11-01 15:54:12,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,100,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
100070,2019-02-26 10:08:06,2019-02-26 10:51:30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",San Francisco / Bay Area
101597,2019-03-05 18:25:52,2019-03-05 18:38:33,Yes,Yes,3,,Online platform,,,,,,,,,,,,,,,,paidpros app food service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101598,2019-03-04 18:18:45,2019-03-04 19:13:10,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,
101599,2019-02-26 11:07:07,2019-02-26 11:21:25,Yes,Yes,1,,,,,Per Scholas,,,,,,,,,,,,,,375,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
101600,2019-02-25 12:49:53,2019-02-25 12:52:01,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
101601,2019-02-19 9:42:32,2019-02-19 9:52:56,Yes,Yes,More than 3,7,Online platform,,,,,,,,,,,,,,,,Rover,94,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,,,Platform Support - Other,,,,,,,,,,,,,,,,,,,,,,No,,
101604,2018-11-29 13:45:23,2018-11-29 13:49:57,Yes,Yes,3,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,500,A best guess of the amount you have earned,No,,,,,I don’t have time to complete gigs,,,,,,,,,,,I do not need support,,,,,,,,,,,,,,,,,,,,No,,
101605,2018-11-29 11:42:09,2018-11-29 11:43:08,Yes,Yes,3,,Online platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101606,2018-11-29 10:53:40,2018-11-29 10:54:34,Yes,Yes,1,,,Staffing or temporary placement (temp) agency,,,,,,,,,,,,,,,,500,A best guess of the amount you have earned,No,,,,I don’t have time to search for gigs,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
101607,2018-11-09 12:23:43,2018-11-09 12:26:41,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Platform Support - Other,,,,,,,,,,,,,,,No,,
,,,,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,